volunteer,channel,ETC for EyesOpen,ETC for EyesClosed,Difference EO - EC
S001,Fc5.,0.02510503125320217,0.09304231990982682,-0.06793728865662466
S001,Fc3.,0.06967927041705092,0.09130033814940056,-0.021621067732349633
S001,Fc1.,0.07879905728045906,0.09591146633876421,-0.017112409058305147
S001,Fcz.,0.08761143559790963,0.0946818321549339,-0.0070703965570242805
S001,Fc2.,0.08781637462854801,0.0947843016702531,-0.0069679270417050965
S001,Fc4.,0.08730402705195205,0.0947843016702531,-0.007480274618301058
S001,Fc6.,0.09181268572599652,0.09632134440004099,-0.004508658674044472
S001,C5..,0.03166308023363049,0.09857567373706322,-0.06691259350343273
S001,C3..,0.0755200327902449,0.09857567373706322,-0.02305564094681832
S001,C1..,0.08064350855620453,0.09427195409365714,-0.013628445537452613
S001,Cz..,0.08463981965365304,0.09488677118557229,-0.010246951531919249
S001,C2..,0.0839225330464187,0.0946818321549339,-0.01075929910851521
S001,C4..,0.08627933189876012,0.09099292960344298,-0.004713597704682854
S001,C6..,0.09283738087918844,0.10185469822727738,-0.009017317348088943
S001,Cp5.,0.056563172456194286,0.10011271646685112,-0.04354954401065683
S001,Cp3.,0.07797930115790552,0.09632134440004099,-0.018342043242135467
S001,Cp1.,0.07470027666769136,0.09509171021621068,-0.020391433548519328
S001,Cpz.,0.07931140485705503,0.09488677118557229,-0.015575366328517262
S001,Cp2.,0.08269289886258838,0.09632134440004099,-0.013628445537452613
S001,Cp4.,0.08443488062301466,0.0837175940157803,0.0007172866072343576
S001,Cp6.,0.07644225842811764,0.09457936263961471,-0.01813710421149707
S001,Fp1.,0.06035454452300441,0.07295829490726509,-0.012603750384260683
S001,Fpz.,0.05758786760938621,0.08043856952556615,-0.02285070191617994
S001,Fp2.,0.04959524541448919,0.0755200327902449,-0.02592478737575571
S001,Af7.,0.062403934829388254,0.07357311199918025,-0.011169177169791995
S001,Af3.,0.05728045906342863,0.07398299006045701,-0.016702530997028384
S001,Afz.,0.06988420944768932,0.08750896608259043,-0.01762475663490111
S001,Af4.,0.055128599241725584,0.07408545957577621,-0.018956860334050626
S001,Af8.,0.062403934829388254,0.07060149605492366,-0.008197561225535409
S001,F7..,0.020186494517880932,0.08361512450046112,-0.06342862998258018
S001,F5..,0.05266933087406497,0.08750896608259043,-0.03483963520852546
S001,F3..,0.07203606926939235,0.08433241110769546,-0.01229634183830311
S001,F1..,0.0757249718208833,0.09027564299620863,-0.014550671175325339
S001,Fz..,0.08074597807152373,0.09304231990982682,-0.012296341838303096
S001,F2..,0.08013116097960857,0.09683369197663695,-0.016702530997028384
S001,F4..,0.07972128291833179,0.0934521979711036,-0.013730915052771811
S001,F6..,0.07470027666769136,0.08218055128599241,-0.007480274618301058
S001,F8..,0.04068039758171944,0.07060149605492366,-0.029921098473204226
S001,Ft7.,0.022030945793626397,0.09703863100727533,-0.07500768521364894
S001,Ft8.,0.04939030638385081,0.09263244184855006,-0.04324213546469925
S001,T7..,0.027359360590224407,0.10472384465621477,-0.07736448406599036
S001,T8..,0.1029818628957885,0.126139973357926,-0.023158110462137504
S001,T9..,0.02141612870171124,0.09765344809919049,-0.07623731939747926
S001,T10.,0.04908289783789323,0.12398811353622298,-0.07490521569832975
S001,Tp7.,0.028896403320012296,0.09683369197663695,-0.06793728865662466
S001,Tp8.,0.07193359975407317,0.07449533763705297,-0.0025617378829798088
S001,P7..,0.051952044266830616,0.10123988113536223,-0.04928783686853161
S001,P5..,0.06793728865662466,0.10001024695153192,-0.032072958294907264
S001,P3..,0.07797930115790552,0.09283738087918844,-0.014858079721282919
S001,P1..,0.0782867097038631,0.09560405779280665,-0.017317348088943543
S001,Pz..,0.07633978891279844,0.0946818321549339,-0.018342043242135467
S001,P2..,0.07470027666769136,0.09632134440004099,-0.021621067732349633
S001,P4..,0.07377805102981863,0.09642381391536017,-0.022645762885541543
S001,P6..,0.07982375243365099,0.09673122246131775,-0.016907470027666766
S001,P8..,0.08822625268982477,0.09703863100727533,-0.008812378317450562
S001,Po7.,0.0755200327902449,0.09273491136386924,-0.017214878573624345
S001,Po3.,0.07531509375960652,0.09119786863408136,-0.015882774874474842
S001,Poz.,0.07623731939747926,0.08986576493493185,-0.0136284455374526
S001,Po4.,0.08627933189876012,0.08873860026642073,-0.002459268367660611
S001,Po8.,0.08966082590429347,0.08043856952556615,0.009222256378727325
S001,O1..,0.0810533866174813,0.0852546367455682,-0.004201250128086906
S001,Oz..,0.07808177067322472,0.08566451480684496,-0.007582744133620242
S001,O2..,0.08166820370939645,0.08709908802131366,-0.005430884311917211
S001,Iz..,0.08095091710216211,0.08576698432216416,-0.0048160672200020516
S002,Fc5.,0.1141510400655805,0.12757454657239473,-0.013423506506814231
S002,Fc3.,0.07265088636130751,0.11835229019366739,-0.04570140383235988
S002,Fc1.,0.05748539809406702,0.1167127779485603,-0.059227379854493285
S002,Fcz.,0.07347064248386105,0.1072855825391946,-0.033814940055333545
S002,Fc2.,0.04949277589917,0.11353622297366534,-0.06404344707449533
S002,Fc4.,0.07859411824982068,0.1070806435085562,-0.028486525258735518
S002,Fc6.,0.085152167230249,0.11507326570345322,-0.02992109847320422
S002,C5..,0.1126139973357926,0.13259555282303515,-0.01998155548724255
S002,C3..,0.08761143559790963,0.1140485705502613,-0.02643713495235167
S002,C1..,0.06793728865662466,0.08064350855620453,-0.012706219899579874
S002,Cz..,0.0863818014140793,0.08074597807152373,0.005635823342555579
S002,C2..,0.06650271544215595,0.08422994159237626,-0.017727226150220307
S002,C4..,0.08494722819961062,0.08843119172046317,-0.0034839635208525482
S002,C6..,0.0865867404447177,0.09765344809919049,-0.01106670765447279
S002,Cp5.,0.11548314376473,0.11507326570345322,0.00040987806127677773
