volunteer,channel,ETC_EyesOpen,ETC_EyesClosed
S001,FC5,0.19804044194288098,0.18032103397957056
S001,FC3,0.1942880967271211,0.18094642484886386
S001,FC1,0.20179278715864082,0.1903272878882635
S001,FCz,0.20033354179695642,0.17969564311027725
S001,FC2,0.20095893266624973,0.18469877006462374
S001,FC4,0.19824890556597874,0.17927871586408173
S001,FC6,0.2032520325203252,0.1807379612257661
S001,C5,0.1984573691890765,0.18407337919533043
S001,C3,0.19241192411924118,0.17448405253283303
S001,C1,0.20637898686679174,0.1711486345632687
S001,Cz,0.21075672295184492,0.18449030644152595
S001,C2,0.21117365019804044,0.17823639774859287
S001,C4,0.2053366687513029,0.18157181571815717
S001,C6,0.19616426933500103,0.17844486137169063
S001,CP5,0.21867834062956015,0.16968938920158433
S001,CP3,0.20220971440483634,0.16864707108609547
S001,CP1,0.19762351469668543,0.1794871794871795
S001,CPz,0.20137585991244528,0.1669793621013133
S001,CP2,0.1957473420888055,0.16968938920158433
S001,CP4,0.1990827600583698,0.1719824890556598
S001,CP6,0.1957473420888055,0.17239941630185532
S001,Fp1,0.19824890556597874,0.17344173441734417
S001,Fpz,0.21471753179070252,0.17615176151761516
S001,Fp2,0.20658745048988952,0.1767771523869085
S001,AF7,0.20200125078173858,0.1801125703564728
S001,AF3,0.21117365019804044,0.17927871586408173
S001,AFz,0.20429435063581405,0.18261413383364603
S001,AF4,0.20033354179695642,0.17927871586408173
S001,AF8,0.20095893266624973,0.17490097977902855
S001,F7,0.1978319783197832,0.1849072336877215
S001,F5,0.19699812382739212,0.18052949760266834
S001,F3,0.19949968730456535,0.1842818428184282
S001,F1,0.1986658328121743,0.18198874296435272
S001,Fz,0.20220971440483634,0.1794871794871795
S001,F2,0.20491974150510736,0.18240567021054827
S001,F4,0.20721284135918283,0.18386491557223264
S001,F6,0.1951219512195122,0.18469877006462374
S001,F8,0.21033979570564937,0.18303106107984157
S001,FT7,0.20429435063581405,0.1855326245570148
S001,FT8,0.19533041484260996,0.18365645194913488
S001,T7,0.2032520325203252,0.1813633520950594
S001,T8,0.2047112778820096,0.17781947050239733
S001,T9,0.20700437773608504,0.1855326245570148
S001,T10,0.1930373149885345,0.18678340629560142
S001,TP7,0.1990827600583698,0.17990410673337504
S001,TP8,0.19741505107358767,0.1732332707942464
S001,P7,0.2005420054200542,0.1767771523869085
S001,P5,0.20158432353554304,0.16135084427767354
S001,P3,0.1992912236814676,0.16614550760892224
S001,P1,0.19470502397331665,0.16802168021680217
S001,Pz,0.20700437773608504,0.1615593079007713
S001,P2,0.20220971440483634,0.1623931623931624
S001,P4,0.20971440483635606,0.16135084427767354
S001,P6,0.1999166145507609,0.1651031894934334
S001,P8,0.1992912236814676,0.1711486345632687
S001,PO7,0.2040858870127163,0.1684386074629977
S001,PO3,0.19616426933500103,0.158223889931207
S001,POz,0.21075672295184492,0.16322701688555347
S001,PO4,0.19824890556597874,0.15718157181571815
S001,PO8,0.19658119658119658,0.1561392537002293
S001,O1,0.21242443193662705,0.14696685428392744
S001,Oz,0.20095893266624973,0.14238065457577653
S001,O2,0.2005420054200542,0.1486345632687096
S001,Iz,0.1992912236814676,0.1386283093600167
S002,FC5,0.1890765061496769,0.17239941630185532
S002,FC3,0.1990827600583698,0.16948092557848654
S002,FC1,0.18699186991869918,0.16593704398582448
S002,FCz,0.1897018970189702,0.1698978528246821
S002,FC2,0.19178653324994788,0.16906399833229102
S002,FC4,0.19199499687304566,0.17615176151761516
S002,FC6,0.19699812382739212,0.17552637064832186
S002,C5,0.20012507817385866,0.1669793621013133
S002,C3,0.1888680425265791,0.1698978528246821
S002,C1,0.18678340629560142,0.16406087137794456
S002,Cz,0.19324577861163228,0.171774025432562
S002,C2,0.1944965603502189,0.16426933500104232
S002,C4,0.1936627058578278,0.1780279341254951
S002,C6,0.2040858870127163,0.16051698978528248
S002,CP5,0.1894934333958724,0.16468626224723787
S002,CP3,0.1855326245570148,0.15801542630810925
S002,CP1,0.18699186991869918,0.16072545340838024
S002,CPz,0.1944965603502189,0.1575984990619137
S002,CP2,0.18365645194913488,0.15468000833854492
S002,CP4,0.18594955180321035,0.15634771732332708
S002,CP6,0.19824890556597874,0.15947467166979362
S002,Fp1,0.19491348759641441,0.17094017094017094
S002,Fpz,0.20241817802793413,0.1684386074629977
S002,Fp2,0.19262038774233897,0.1765686887638107
S002,AF7,0.1978319783197832,0.17510944340212634
S002,AF3,0.20137585991244528,0.1801125703564728
S002,AFz,0.19116114238065457,0.1813633520950594
S002,AF4,0.19533041484260996,0.18678340629560142
S002,AF8,0.21138211382113822,0.18532416093391704
S002,F7,0.19262038774233897,0.17302480717114863
S002,F5,0.19616426933500103,0.1711486345632687
S002,F3,0.19241192411924118,0.16927246195538878
S002,F1,0.20200125078173858,0.17719407963310402
S002,Fz,0.18928496977277465,0.17886178861788618
S002,F2,0.20075046904315197,0.18261413383364603
S002,F4,0.19553887846570772,0.17969564311027725
S002,F6,0.19949968730456535,0.1774025432562018
S002,F8,0.2045028142589118,0.1765686887638107
S002,FT7,0.19407963310402335,0.17094017094017094
S002,FT8,0.20241817802793413,0.1842818428184282
S002,T7,0.1986658328121743,0.18157181571815717
S002,T8,0.1938711694809256,0.17781947050239733
S002,T9,0.18407337919533043,0.18594955180321035
S002,T10,0.1938711694809256,0.18407337919533043
S002,TP7,0.1984573691890765,0.17281634354805087
S002,TP8,0.18282259745674379,0.15572232645403378
S002,P7,0.1855326245570148,0.16739628934750886
S002,P5,0.1951219512195122,0.16468626224723787
S002,P3,0.1888680425265791,0.1615593079007713
S002,P1,0.1909526787575568,0.15238690848446945
S002,Pz,0.18303106107984157,0.15301229935376276
S002,P2,0.19011882426516574,0.14884302689180737
S002,P4,0.18303106107984157,0.15134459036898062
S002,P6,0.18782572441109027,0.15030227225349177
S002,P8,0.18303106107984157,0.14946841776110067
S002,PO7,0.18678340629560142,0.16322701688555347
S002,PO3,0.19011882426516574,0.16051698978528248
S002,POz,0.18178027934125496,0.14634146341463414
S002,PO4,0.18344798832603712,0.14634146341463414
S002,PO8,0.17865332499478842,0.14592453616843862
S002,O1,0.18865957890348134,0.150093808630394
S002,Oz,0.18636647904940587,0.15634771732332708
S002,O2,0.18240567021054827,0.14967688138419846
S002,Iz,0.18803418803418803,0.15905774442359807
S003,FC5,0.19407963310402335,0.18636647904940587
S003,FC3,0.19887429643527205,0.18323952470293933
S003,FC1,0.1978319783197832,0.18115488847196165
S003,FCz,0.203460496143423,0.18720033354179696
S003,FC2,0.20116739628934752,0.1765686887638107
S003,FC4,0.20012507817385866,0.17552637064832186
S003,FC6,0.19949968730456535,0.18303106107984157
S003,C5,0.20554513237440067,0.18574108818011256
S003,C3,0.19533041484260996,0.17636022514071295
S003,C1,0.19324577861163228,0.1861580154263081
S003,Cz,0.2005420054200542,0.17990410673337504
S003,C2,0.20908901396706275,0.17990410673337504
S003,C4,0.20200125078173858,0.20304356889722744
S003,C6,0.20137585991244528,0.18386491557223264
S003,CP5,0.20783823222847614,0.1705232436939754
S003,CP3,0.1951219512195122,0.18219720658745048
S003,CP1,0.20596205962059622,0.17781947050239733
S003,CPz,0.19178653324994788,0.17510944340212634
S003,CP2,0.19136960600375236,0.16802168021680217
S003,CP4,0.2026266416510319,0.16968938920158433
S003,CP6,0.1999166145507609,0.18865957890348134
S003,Fp1,0.20429435063581405,0.17031478007087764
S003,Fpz,0.19637273295809882,0.1753179070252241
S003,Fp2,0.20617052324369398,0.1807379612257661
S003,AF7,0.19699812382739212,0.16885553470919323
S003,AF3,0.19741505107358767,0.17344173441734417
S003,AFz,0.19741505107358767,0.1711486345632687
S003,AF4,0.20658745048988952,0.17719407963310402
S003,AF8,0.21033979570564937,0.1813633520950594
S003,F7,0.20304356889722744,0.18198874296435272
S003,F5,0.19970815092766311,0.1849072336877215
S003,F3,0.2040858870127163,0.1807379612257661
S003,F1,0.20491974150510736,0.19595580571190327
S003,Fz,0.1978319783197832,0.1780279341254951
S003,F2,0.20908901396706275,0.18094642484886386
S003,F4,0.20012507817385866,0.17719407963310402
S003,F6,0.19637273295809882,0.1726078799249531
S003,F8,0.19970815092766311,0.17219095267875756
S003,FT7,0.1992912236814676,0.1894934333958724
S003,FT8,0.19553887846570772,0.1765686887638107
S003,T7,0.19762351469668543,0.1807379612257661
S003,T8,0.20241817802793413,0.18323952470293933
S003,T9,0.20075046904315197,0.18511569731081925
S003,T10,0.19637273295809882,0.18115488847196165
S003,TP7,0.2038774233896185,0.17552637064832186
S003,TP8,0.19595580571190327,0.17719407963310402
S003,P7,0.19741505107358767,0.15801542630810925
S003,P5,0.19491348759641441,0.15593079007713154
S003,P3,0.19616426933500103,0.16614550760892224
S003,P1,0.19887429643527205,0.16281008963935792
S003,Pz,0.19741505107358767,0.18303106107984157
S003,P2,0.2053366687513029,0.1732332707942464
S003,P4,0.19178653324994788,0.17094017094017094
S003,P6,0.19595580571190327,0.16114238065457578
S003,P8,0.1986658328121743,0.15801542630810925
S003,PO7,0.20429435063581405,0.15176151761517614
S003,PO3,0.19762351469668543,0.15884928080050031
S003,POz,0.19804044194288098,0.17219095267875756
S003,PO4,0.19553887846570772,0.14780070877631854
S003,PO8,0.1882426516572858,0.15259537210756724
S003,O1,0.19637273295809882,0.14842609964561185
S003,Oz,0.20075046904315197,0.15572232645403378
S003,O2,0.19533041484260996,0.14654992703773193
S003,Iz,0.1942880967271211,0.14634146341463414
S004,FC5,0.20825515947467166,0.16552011673962894
S004,FC3,0.20075046904315197,0.17552637064832186
S004,FC1,0.1897018970189702,0.17239941630185532
S004,FCz,0.19491348759641441,0.17907025224098394
S004,FC2,0.19491348759641441,0.17698561601000626
S004,FC4,0.1978319783197832,0.15884928080050031
S004,FC6,0.1942880967271211,0.16406087137794456
S004,C5,0.1978319783197832,0.17990410673337504
S004,C3,0.1986658328121743,0.17427558890973524
S004,C1,0.2080466958515739,0.16552011673962894
S004,Cz,0.19136960600375236,0.17781947050239733
S004,C2,0.19011882426516574,0.18928496977277465
S004,C4,0.19241192411924118,0.17781947050239733
S004,C6,0.2026266416510319,0.17781947050239733
S004,CP5,0.19699812382739212,0.1732332707942464
S004,CP3,0.19824890556597874,0.1765686887638107
S004,CP1,0.18511569731081925,0.17719407963310402
S004,CPz,0.19553887846570772,0.17448405253283303
S004,CP2,0.2038774233896185,0.1753179070252241
S004,CP4,0.19324577861163228,0.1621846987700646
S004,CP6,0.1894934333958724,0.1569731081926204
S004,Fp1,0.20116739628934752,0.15176151761517614
S004,Fpz,0.2005420054200542,0.14905149051490515
S004,Fp2,0.19178653324994788,0.150093808630394
S004,AF7,0.19637273295809882,0.15092766312278508
S004,AF3,0.19741505107358767,0.15196998123827393
S004,AFz,0.1986658328121743,0.15593079007713154
S004,AF4,0.19553887846570772,0.15947467166979362
S004,AF8,0.20658745048988952,0.17344173441734417
S004,F7,0.20992286845945382,0.16948092557848654
S004,F5,0.19533041484260996,0.1617677715238691
S004,F3,0.19199499687304566,0.16322701688555347
S004,F1,0.1990827600583698,0.15801542630810925
S004,Fz,0.2032520325203252,0.15426308109234937
S004,F2,0.19637273295809882,0.1569731081926204
S004,F4,0.20429435063581405,0.1671878257244111
S004,F6,0.19762351469668543,0.1630185532624557
S004,F8,0.1951219512195122,0.1671878257244111
S004,FT7,0.1951219512195122,0.17094017094017094
S004,FT8,0.18657494267250366,0.16948092557848654
S004,T7,0.19262038774233897,0.18594955180321035
S004,T8,0.18928496977277465,0.17990410673337504
S004,T9,0.1990827600583698,0.17573483427141964
S004,T10,0.2005420054200542,0.18594955180321035
S004,TP7,0.19345424223473004,0.17886178861788618
S004,TP8,0.18740879716489472,0.15196998123827393
S004,P7,0.18991036064206795,0.14905149051490515
S004,P5,0.19262038774233897,0.1603085261621847
S004,P3,0.19220346049614342,0.160933917031478
S004,P1,0.203460496143423,0.15780696268501146
S004,Pz,0.203460496143423,0.14967688138419846
S004,P2,0.19658119658119658,0.14509068167604752
S004,P4,0.2040858870127163,0.13696060037523453
S004,P6,0.2086720867208672,0.12570356472795496
S004,P8,0.19762351469668543,0.12299353762768397
S004,PO7,0.20637898686679174,0.12507817385866166
S004,PO3,0.19970815092766311,0.13675213675213677
S004,POz,0.20971440483635606,0.12653741922034606
S004,PO4,0.19533041484260996,0.1173650198040442
S004,PO8,0.19887429643527205,0.11653116531165311
S004,O1,0.2086720867208672,0.12195121951219512
S004,Oz,0.20637898686679174,0.1342505732749635
S004,O2,0.19678966020429436,0.1131957473420888
S004,Iz,0.19491348759641441,0.13550135501355012
S005,FC5,0.1942880967271211,0.1957473420888055
S005,FC3,0.2080466958515739,0.19053575151136126
S005,FC1,0.1999166145507609,0.19970815092766311
S005,FCz,0.20992286845945382,0.20283510527412965
S005,FC2,0.19616426933500103,0.1936627058578278
S005,FC4,0.19720658745048988,0.19678966020429436
S005,FC6,0.1951219512195122,0.20095893266624973
S005,C5,0.2053366687513029,0.19324577861163228
S005,C3,0.19699812382739212,0.2045028142589118
S005,C1,0.1942880967271211,0.20971440483635606
S005,Cz,0.1984573691890765,0.19282885136543673
S005,C2,0.20116739628934752,0.1978319783197832
S005,C4,0.19637273295809882,0.18865957890348134
S005,C6,0.19741505107358767,0.19762351469668543
S005,CP5,0.18699186991869918,0.1897018970189702
S005,CP3,0.19616426933500103,0.1984573691890765
S005,CP1,0.19678966020429436,0.20241817802793413
S005,CPz,0.2045028142589118,0.19157806962685012
S005,CP2,0.19678966020429436,0.1936627058578278
S005,CP4,0.21200750469043153,0.19262038774233897
S005,CP6,0.19741505107358767,0.19637273295809882
S005,Fp1,0.20179278715864082,0.19324577861163228
S005,Fpz,0.20241817802793413,0.19470502397331665
S005,Fp2,0.21388367729831145,0.19553887846570772
S005,AF7,0.19595580571190327,0.19720658745048988
S005,AF3,0.19178653324994788,0.20137585991244528
S005,AFz,0.19658119658119658,0.18449030644152595
S005,AF4,0.2074213049822806,0.2040858870127163
S005,AF8,0.20116739628934752,0.1938711694809256
S005,F7,0.20033354179695642,0.19282885136543673
S005,F5,0.19804044194288098,0.20554513237440067
S005,F3,0.19887429643527205,0.20179278715864082
